Distance_m,Bed_Elevation_m,Water_Depth_m,Water_Surface_Elevation_m,Flow_Rate_m3s
8900.0,0.55,1.1538326141347603,1.7038326141347604,9.883781492446287
8950.0,0.525,1.1538365450445887,1.6788365450445886,9.883799985022426
9000.0,0.5,1.1538410639492764,1.6538410639492764,9.88385075577915
9050.0,0.47500000000000003,1.1538460469817318,1.6288460469817319,9.883931520668888
9100.0,0.45,1.153851364789562,1.603851364789562,9.884039649623315
9150.0,0.425,1.1538568835589875,1.5788568835589876,9.884172151334855
9200.0,0.4,1.1538624669424071,1.553862466942407,9.884325672012602
9250.0,0.375,1.1538679793421556,1.5288679793421556,9.884496518497324
9300.0,0.35000000000000003,1.1538732820241284,1.5038732820241285,9.884680675904455
9350.0,0.325,1.1538782439076867,1.4788782439076866,9.884873855693058
9400.0,0.3,1.153882743054638,1.453882743054638,9.88507158506007
9450.0,0.275,1.1538866659358524,1.4288866659358526,9.885269296029612
9500.0,0.25,1.153889896402533,1.403889896402533,9.88546233502566
9550.0,0.225,1.1538923875823723,1.3788923875823724,9.885646347330823
9600.0,0.2,1.1538940669861455,1.3538940669861455,9.885817221915122
9650.0,0.17500000000000002,1.1538948849640052,1.3288948849640052,9.885971183706067
9700.0,0.15,1.1538948482511966,1.3038948482511965,9.886105077832218
9750.0,0.125,1.1538941704058843,1.2788941704058843,9.88621698193856
9800.0,0.1,1.1538926018039275,1.2538926018039276,9.886305637529532
9850.0,0.075,1.153890557371927,1.2288905573719269,9.886370875916198
9900.0,0.05,1.1538884004178283,1.2038884004178283,9.886414804144986
9950.0,0.025,1.15388641923763,1.1788864192376298,9.88644104040659
10000.0,0.0,1.1538832978799107,1.1538832978799107,9.886452753911406
