Time_s,Average_Depth_m,Average_Flow_m3s,Depth_Error_pct,Flow_Error_pct
36.0,0.8384601571499661,0.9256647860750248,3.964990569116469,-88.42919017406219
36.5,0.8371547511323391,0.9232696828554755,3.8031265578642413,-88.45912896430656
37.0,0.8358730125931899,0.9209203528733801,3.6441971990886635,-88.48849558908275
37.5,0.8346144922500516,0.9186156549979365,3.488146783944112,-88.5173043125258
38.0,0.8333787503647748,0.916354489449418,3.334920787034063,-88.54556888188228
38.5,0.8321653564914138,0.9141357961169471,3.1844658351501147,-88.57330254853815
39.0,0.8309738892356873,0.9119585529134495,3.036729677446367,-88.60051808858188
39.5,0.8298039360246783,0.9098217741725629,2.8916611568832584,-88.62722782284295
40.0,0.8286550928855528,0.9077245090908057,2.749210182789795,-88.65344363636493
40.5,0.8275269642297529,0.9056658402207631,2.609327704104513,-88.67917699724046
41.0,0.8264191626498133,0.9036448820038142,2.471965684181752,-88.70443897495232
41.5,0.8253313087212749,0.9016607793554003,2.337077076229877,-88.7292402580575
42.0,0.8242630308069019,0.8997127063030538,2.2046157990351363,-88.75359117121184
42.5,0.8232139648684941,0.8977998646664626,2.0745367136273347,-88.77750169166922
43.0,0.8221837542847678,0.8959214827784364,1.9467956006979172,-88.80098146526954
43.5,0.8211720496748888,0.8940768142378362,1.8213491387189404,-88.82403982202705
44.0,0.8201785087276359,0.8922651366815729,1.6981548827601518,-88.84668579148034
44.5,0.8192027960362148,0.8904857505574653,1.5771712440067445,-88.86892811803169
45.0,0.8182445829387653,0.8887379778742935,1.4583574699829887,-88.89077527657133
45.5,0.8173035473645754,0.8870211609009778,1.341673625483557,-88.91223548873778
46.0,0.8163793736859118,0.8853346607851182,1.227080574201215,-88.93331674018602
46.5,0.815471752575155,0.8836778560644025,1.1145399610122615,-88.95402679919498
47.0,0.8145803808665959,0.882050141054841,1.004014194839985,-88.97437323681449
47.5,0.8137049614218493,0.8804509241191117,0.895466431966598,-88.99436344851111
48.0,0.8128452029974185,0.8788796258466048,0.7888605596118472,-89.01400467691744
48.5,0.8120008201126373,0.877335677212131,0.6841611795585427,-89.03330403484836
49.0,0.8111715329161263,0.8758185178179577,0.5813335915937003,-89.05226852727553
49.5,0.8103570670491335,0.8743275943570227,0.4803437765634864,-89.07090507053722
50.0,0.8095571535047533,0.8728623594555249,0.38115837891707793,-89.08922050680594
50.5,0.808771528482991,0.8714222710529584,0.28374468873529435,-89.10722161183801
51.0,0.8079999332428376,0.8700067924518822,0.18807062338864194,-89.12491509435148
51.5,0.8072421139537403,0.86861539311767,0.09410470912040166,-89.14230758602912
52.0,0.8064978215498326,0.8672475502349057,0.001816062971779716,-89.15940562206369
52.5,0.8057668115908195,0.8659027509417963,-0.0888256244675598,-89.17621561322755
53.0,0.805048844133327,0.8645804950801111,-0.17785010501159207,-89.19274381149862
53.5,0.8043436836158346,0.8632802982294915,-0.26528658714570313,-89.20899627213136
54.0,0.8036510987590797,0.8620016947529421,-0.3511637483761105,-89.22497881558822
54.5,0.8029708624823191,0.8607442405716117,-0.43550974561297046,-89.24069699285485
55.0,0.8023027518342798,0.8595075154123002,-0.518352223732187,-89.25615605734625
55.5,0.8016465479359056,0.858291124326057,-0.5997183226745443,-89.27136094592429
56.0,0.8010020359324523,0.8570946983482358,-0.6796346833856685,-89.28631627064705
56.5,0.8003690049516787,0.8559178942541409,-0.7581274530001408,-89.30102632182324
57.0,0.7997472480613665,0.8547603934451128,-0.8352222901088147,-89.31549508193609
