Method,Position (m),Water_Depth (m),Discharge (m^3/s)
EXPLICIT,535.0,0.8064831116916468,8.000000213504359
EXPLICIT,540.0,0.8064831120148379,8.00000021620181
EXPLICIT,545.0,0.8064831123416327,8.000000218903475
EXPLICIT,550.0,0.8064831126721045,8.000000221608897
EXPLICIT,555.0,0.8064831130063282,8.000000224317606
EXPLICIT,560.0,0.8064831133443812,8.00000022702914
EXPLICIT,565.0,0.8064831136863418,8.000000229743017
EXPLICIT,570.0,0.8064831140322919,8.000000232458751
EXPLICIT,575.0,0.8064831143823147,8.000000235175856
EXPLICIT,580.0,0.8064831147364955,8.000000237893824
EXPLICIT,585.0,0.8064831150949225,8.00000024061215
EXPLICIT,590.0,0.8064831154576858,8.000000243330312
EXPLICIT,595.0,0.8064831158248785,8.000000246047783
EXPLICIT,600.0,0.8064831161965954,8.000000248764021
EXPLICIT,605.0,0.8064831165729348,8.000000251478477
EXPLICIT,610.0,0.8064831169539973,8.000000254190594
EXPLICIT,615.0,0.8064831173398859,8.000000256899796
EXPLICIT,620.0,0.806483117730707,8.000000259605503
EXPLICIT,625.0,0.8064831181265694,8.000000262307124
EXPLICIT,630.0,0.8064831185275851,8.000000265004056
EXPLICIT,635.0,0.8064831189338688,8.000000267695686
EXPLICIT,640.0,0.8064831193455385,8.000000270381388
EXPLICIT,645.0,0.8064831197627155,8.000000273060534
EXPLICIT,650.0,0.8064831201855235,8.00000027573248
EXPLICIT,655.0,0.8064831206140901,8.00000027839657
EXPLICIT,660.0,0.8064831210485465,8.000000281052142
EXPLICIT,665.0,0.8064831214890261,8.000000283698519
EXPLICIT,670.0,0.8064831219356671,8.000000286335023
EXPLICIT,675.0,0.8064831223886104,8.000000288960962
EXPLICIT,680.0,0.8064831228480006,8.000000291575628
EXPLICIT,685.0,0.8064831233139866,8.000000294178315
EXPLICIT,690.0,0.8064831237867204,8.0000002967683
EXPLICIT,695.0,0.8064831242663577,8.000000299344853
EXPLICIT,700.0,0.806483124753059,8.000000301907233
EXPLICIT,705.0,0.8064831252469881,8.000000304454689
EXPLICIT,710.0,0.8064831257483129,8.00000030698646
EXPLICIT,715.0,0.8064831262572062,8.000000309501777
EXPLICIT,720.0,0.8064831267738445,8.000000311999862
EXPLICIT,725.0,0.8064831272984088,8.000000314479927
EXPLICIT,730.0,0.8064831278310848,8.000000316941172
EXPLICIT,735.0,0.8064831283720627,8.000000319382789
EXPLICIT,740.0,0.8064831289215374,8.000000321803958
EXPLICIT,745.0,0.8064831294797082,8.000000324203851
EXPLICIT,750.0,0.8064831300467805,8.00000032658163
EXPLICIT,755.0,0.8064831306229632,8.00000032893644
EXPLICIT,760.0,0.8064831312084713,8.000000331267422
EXPLICIT,765.0,0.8064831318035243,8.0000003335737
EXPLICIT,770.0,0.8064831324083478,8.000000335854388
EXPLICIT,775.0,0.8064831330231721,8.000000338108588
EXPLICIT,780.0,0.8064831336482335,8.000000340335397
EXPLICIT,785.0,0.8064831342837745,8.000000342533907
EXPLICIT,790.0,0.8064831349300431,8.000000344703206
EXPLICIT,795.0,0.806483135587294,8.000000346842382
EXPLICIT,800.0,0.8064831362557882,8.000000348950536
EXPLICIT,805.0,0.8064831369357935,8.000000351026761
EXPLICIT,810.0,0.8064831376275838,8.000000353070151
EXPLICIT,815.0,0.8064831383314397,8.000000355079784
EXPLICIT,820.0,0.8064831390476472,8.000000357054702
EXPLICIT,825.0,0.8064831397764977,8.000000358993882
EXPLICIT,830.0,0.8064831405182866,8.000000360896207
EXPLICIT,835.0,0.8064831412733137,8.00000036276045
EXPLICIT,840.0,0.8064831420418823,8.000000364585269
EXPLICIT,845.0,0.8064831428243014,8.000000366369223
EXPLICIT,850.0,0.8064831436208876,8.000000368110868
EXPLICIT,855.0,0.8064831444319679,8.000000369808896
EXPLICIT,860.0,0.8064831452578884,8.000000371462281
EXPLICIT,865.0,0.8064831460990203,8.000000373070556
EXPLICIT,870.0,0.8064831469557628,8.00000037463407
EXPLICIT,875.0,0.8064831478285472,8.000000376154013
EXPLICIT,880.0,0.8064831487178434,8.000000377632247
EXPLICIT,885.0,0.8064831496241281,8.00000037907137
EXPLICIT,890.0,0.8064831505478641,8.000000380473523
EXPLICIT,895.0,0.8064831514894728,8.000000381838493
EXPLICIT,900.0,0.8064831524493072,8.000000383163329
EXPLICIT,905.0,0.8064831534274458,8.000000384441005
EXPLICIT,910.0,0.8064831544238803,8.00000038565518
EXPLICIT,915.0,0.8064831554384406,8.000000386783581
EXPLICIT,920.0,0.806483156470709,8.000000387804628
EXPLICIT,925.0,0.806483157519816,8.000000388691822
EXPLICIT,930.0,0.8064831585865333,8.000000389420226
EXPLICIT,935.0,0.8064831596708307,8.000000390010726
EXPLICIT,940.0,0.8064831607732661,8.00000039051388
EXPLICIT,945.0,0.806483161896667,8.000000390998332
EXPLICIT,950.0,0.8064831630504325,8.000000391631207
EXPLICIT,955.0,0.8064831642287333,8.00000039269642
EXPLICIT,960.0,0.8064831654433408,8.000000394362866
EXPLICIT,965.0,0.8064831667050181,8.000000396840615
EXPLICIT,970.0,0.8064831680116218,8.000000400394201
EXPLICIT,975.0,0.8064831692957147,8.000000405070434
EXPLICIT,980.0,0.8064831706613058,8.000000410170545
EXPLICIT,985.0,0.8064831719748615,8.000000415085372
EXPLICIT,990.0,0.8064831731356402,8.00000041929935
EXPLICIT,995.0,0.8064831740776417,8.00000042244649
EXPLICIT,1000.0,0.8064831753075122,8.000000424606103
PREISSMANN,0.0,0.8064830994247094,8.0
PREISSMANN,5.0,0.8064830994523657,8.00000000634543
PREISSMANN,10.0,0.8064830995031036,8.000000010601148
PREISSMANN,15.0,0.8064830995848644,8.000000015501977
PREISSMANN,20.0,0.8064830997027392,8.000000020638804
PREISSMANN,25.0,0.8064830998587078,8.000000025477794
PREISSMANN,30.0,0.8064831000504404,8.000000029385847
PREISSMANN,35.0,0.8064831002750442,8.000000033085538
PREISSMANN,40.0,0.806483100528106,8.000000036308945
PREISSMANN,45.0,0.8064831008040828,8.000000039161689
PREISSMANN,50.0,0.8064831010974064,8.000000041801846
PREISSMANN,55.0,0.8064831014030758,8.000000044366107
PREISSMANN,60.0,0.8064831017167485,8.000000046870555
PREISSMANN,65.0,0.8064831020345554,8.000000049425442
PREISSMANN,70.0,0.8064831023538865,8.00000005208619
PREISSMANN,75.0,0.8064831026728605,8.000000054882749
PREISSMANN,80.0,0.8064831029903031,8.000000057831617
PREISSMANN,85.0,0.8064831033057054,8.000000060942652
PREISSMANN,90.0,0.8064831036190938,8.000000064207368
PREISSMANN,95.0,0.8064831039307929,8.00000006761278
PREISSMANN,100.0,0.8064831042413654,8.000000071142406
PREISSMANN,105.0,0.8064831045514869,8.000000074777644
PREISSMANN,110.0,0.8064831048618449,8.000000078499784
PREISSMANN,115.0,0.8064831051730738,8.000000082292662
PREISSMANN,120.0,0.8064831054857254,8.000000086142558
PREISSMANN,125.0,0.8064831058002355,8.0000000900388
PREISSMANN,130.0,0.8064831061169194,8.000000093973878
PREISSMANN,135.0,0.8064831064359791,8.000000097943204
PREISSMANN,140.0,0.8064831067575169,8.000000101944586
PREISSMANN,145.0,0.8064831070815512,8.000000105977815
PREISSMANN,150.0,0.8064831074080401,8.000000110044104
PREISSMANN,155.0,0.8064831077368991,8.000000114145578
PREISSMANN,160.0,0.8064831080680195,8.000000118284847
PREISSMANN,165.0,0.8064831084012829,8.00000012246465
PREISSMANN,170.0,0.8064831087365734,8.000000126687583
PREISSMANN,175.0,0.8064831090737842,8.000000130955922
PREISSMANN,180.0,0.806483109412824,8.000000135271522
PREISSMANN,185.0,0.8064831097536183,8.000000139635782
PREISSMANN,190.0,0.80648311009611,8.000000144049643
PREISSMANN,195.0,0.8064831104402572,8.000000148513651
PREISSMANN,200.0,0.8064831107860326,8.00000015302801
PREISSMANN,205.0,0.8064831111334179,8.00000015759266
PREISSMANN,210.0,0.8064831114824038,8.00000016220737
PREISSMANN,215.0,0.8064831118329849,8.000000166871779
PREISSMANN,220.0,0.8064831121851583,8.000000171585475
PREISSMANN,225.0,0.8064831125389215,8.00000017634804
PREISSMANN,230.0,0.8064831128942707,8.00000018115908
PREISSMANN,235.0,0.8064831132511999,8.000000186018244
PREISSMANN,240.0,0.8064831136097007,8.000000190925237
PREISSMANN,245.0,0.8064831139697616,8.000000195879831
