Method,Position (m),Water_Depth (m),Discharge (m³/s)
PREISSMANN,225.0,0.8064831380990682,8.000000444880069
PREISSMANN,230.0,0.8064831386778548,8.000000456663496
PREISSMANN,235.0,0.8064831392570111,8.000000468535383
PREISSMANN,240.0,0.8064831398364855,8.000000480494194
PREISSMANN,245.0,0.8064831404162209,8.000000492538494
PREISSMANN,250.0,0.8064831409961557,8.000000504666946
PREISSMANN,255.0,0.8064831415762236,8.000000516878318
PREISSMANN,260.0,0.8064831421563555,8.000000529171473
PREISSMANN,265.0,0.80648314273648,8.000000541545354
PREISSMANN,270.0,0.8064831433165252,8.000000553998985
PREISSMANN,275.0,0.8064831438964191,8.00000056653147
PREISSMANN,280.0,0.806483144476091,8.000000579141986
PREISSMANN,285.0,0.8064831450554731,8.000000591829782
PREISSMANN,290.0,0.8064831456345005,8.000000604594199
PREISSMANN,295.0,0.8064831462131123,8.00000061743467
PREISSMANN,300.0,0.8064831467912521,8.000000630350732
PREISSMANN,305.0,0.8064831473688683,8.000000643342036
PREISSMANN,310.0,0.806483147945914,8.000000656408368
PREISSMANN,315.0,0.8064831485223484,8.000000669549639
PREISSMANN,320.0,0.8064831490981343,8.000000682765904
PREISSMANN,325.0,0.8064831496732405,8.000000696057361
PREISSMANN,330.0,0.8064831502476396,8.000000709424334
PREISSMANN,335.0,0.8064831508213081,8.000000722867275
PREISSMANN,340.0,0.8064831513942251,8.000000736386731
PREISSMANN,345.0,0.8064831519663722,8.000000749983325
PREISSMANN,350.0,0.8064831525377311,8.00000076365771
PREISSMANN,355.0,0.806483153108283,8.000000777410532
PREISSMANN,360.0,0.8064831536780068,8.000000791242368
PREISSMANN,365.0,0.8064831542468769,8.000000805153665
PREISSMANN,370.0,0.8064831548148612,8.000000819144665
PREISSMANN,375.0,0.8064831553819187,8.00000083321532
PREISSMANN,380.0,0.8064831559479977,8.000000847365214
PREISSMANN,385.0,0.8064831565130317,8.000000861593456
PREISSMANN,390.0,0.8064831570769375,8.00000087589859
PREISSMANN,395.0,0.8064831576396128,8.00000089027848
PREISSMANN,400.0,0.8064831582009317,8.000000904730214
PREISSMANN,405.0,0.8064831587607433,8.000000919249999
PREISSMANN,410.0,0.8064831593188682,8.000000933833041
PREISSMANN,415.0,0.8064831598750961,8.000000948473463
PREISSMANN,420.0,0.8064831604291827,8.000000963164199
PREISSMANN,425.0,0.8064831609808485,8.000000977896919
PREISSMANN,430.0,0.8064831615297758,8.000000992661944
PREISSMANN,435.0,0.806483162075609,8.00000100744819
PREISSMANN,440.0,0.8064831626179518,8.00000102224313
PREISSMANN,445.0,0.8064831631563678,8.000001037032748
PREISSMANN,450.0,0.8064831636903811,8.000001051801554
PREISSMANN,455.0,0.8064831642194764,8.000001066532585
PREISSMANN,460.0,0.8064831647431006,8.000001081207436
PREISSMANN,465.0,0.8064831652606654,8.00000109580633
PREISSMANN,470.0,0.8064831657715507,8.0000011103082
PREISSMANN,475.0,0.8064831662751065,8.000001124690797
PREISSMANN,480.0,0.8064831667706593,8.00000113893082
PREISSMANN,485.0,0.8064831672575157,8.000001153004069
PREISSMANN,490.0,0.8064831677349684,8.000001166885635
PREISSMANN,495.0,0.8064831682023021,8.000001180550079
PREISSMANN,500.0,0.8064831686588008,8.000001193971668
PREISSMANN,505.0,0.8064831691037535,8.000001207124587
PREISSMANN,510.0,0.8064831695364627,8.000001219983194
PREISSMANN,515.0,0.8064831699562511,8.000001232522266
PREISSMANN,520.0,0.8064831703624693,8.000001244717254
PREISSMANN,525.0,0.8064831707545035,8.000001256544556
PREISSMANN,530.0,0.8064831711317824,8.000001267981743
PREISSMANN,535.0,0.8064831714937843,8.000001279007838
PREISSMANN,540.0,0.8064831718400445,8.000001289603532
PREISSMANN,545.0,0.80648317217016,8.000001299751414
PREISSMANN,550.0,0.806483172483796,8.000001309436177
PREISSMANN,555.0,0.8064831727806903,8.000001318644788
PREISSMANN,560.0,0.806483173060657,8.000001327366654
PREISSMANN,565.0,0.8064831733235902,8.000001335593739
PREISSMANN,570.0,0.8064831735694653,8.000001343320674
PREISSMANN,575.0,0.8064831737983407,8.000001350544807
PREISSMANN,580.0,0.8064831740103576,8.000001357266235
PREISSMANN,585.0,0.8064831742057388,8.000001363487812
PREISSMANN,590.0,0.8064831743847871,8.000001369215092
PREISSMANN,595.0,0.8064831745478824,8.000001374456271
PREISSMANN,600.0,0.8064831746954776,8.000001379222082
PREISSMANN,605.0,0.8064831748280936,8.000001383525653
PREISSMANN,610.0,0.8064831749463144,8.000001387382351
PREISSMANN,615.0,0.8064831750507802,8.000001390809585
PREISSMANN,620.0,0.8064831751421808,8.000001393826604
PREISSMANN,625.0,0.8064831752212485,8.00000139645427
PREISSMANN,630.0,0.8064831752887496,8.000001398714794
PREISSMANN,635.0,0.8064831753454775,8.000001400631511
PREISSMANN,640.0,0.8064831753922437,8.000001402228593
PREISSMANN,645.0,0.80648317542987,8.00000140353079
PREISSMANN,650.0,0.8064831754591806,8.000001404563184
PREISSMANN,655.0,0.8064831754809945,8.000001405350908
PREISSMANN,660.0,0.806483175496118,8.000001405918916
PREISSMANN,665.0,0.8064831755053379,8.000001406291743
PREISSMANN,670.0,0.8064831755094145,8.000001406493286
PREISSMANN,675.0,0.8064831755090774,8.0000014065466
PREISSMANN,680.0,0.8064831755050188,8.000001406473732
PREISSMANN,685.0,0.8064831754978902,8.000001406295555
PREISSMANN,690.0,0.8064831754882984,8.000001406031632
PREISSMANN,695.0,0.8064831754768031,8.000001405700132
PREISSMANN,700.0,0.8064831754639147,8.000001405317718
PREISSMANN,705.0,0.806483175450093,8.000001404899518
PREISSMANN,710.0,0.8064831754357467,8.000001404459077
PREISSMANN,715.0,0.8064831754212343,8.000001404008364
PREISSMANN,720.0,0.8064831754068644,8.000001403557773
PREISSMANN,725.0,0.8064831753928972,8.000001403116167
PREISSMANN,730.0,0.806483175379547,8.000001402690934
PREISSMANN,735.0,0.806483175366984,8.000001402288051
PREISSMANN,740.0,0.8064831753553383,8.000001401912177
PREISSMANN,745.0,0.8064831753447025,8.00000140156674
PREISSMANN,750.0,0.8064831753351345,8.00000140125405
PREISSMANN,755.0,0.8064831753266626,8.000001400975412
PREISSMANN,760.0,0.8064831753192883,8.000001400731234
PREISSMANN,765.0,0.8064831753129896,8.000001400521146
PREISSMANN,770.0,0.8064831753077262,8.00000140034413
PREISSMANN,775.0,0.8064831753034418,8.000001400198613
PREISSMANN,780.0,0.8064831753000675,8.000001400082597
PREISSMANN,785.0,0.8064831752975257,8.000001399993753
PREISSMANN,790.0,0.8064831752957327,8.000001399929515
PREISSMANN,795.0,0.8064831752946013,8.00000139988718
PREISSMANN,800.0,0.8064831752940436,8.00000139986398
PREISSMANN,805.0,0.8064831752939721,8.000001399857151
PREISSMANN,810.0,0.8064831752943028,8.000001399864
PREISSMANN,815.0,0.8064831752949557,8.000001399881953
PREISSMANN,820.0,0.8064831752958564,8.000001399908594
PREISSMANN,825.0,0.8064831752969369,8.000001399941695
PREISSMANN,830.0,0.806483175298136,8.000001399979242
PREISSMANN,835.0,0.8064831752993997,8.000001400019453
PREISSMANN,840.0,0.8064831753006823,8.000001400060778
PREISSMANN,845.0,0.8064831753019444,8.000001400101908
PREISSMANN,850.0,0.8064831753031543,8.000001400141759
PREISSMANN,855.0,0.8064831753042875,8.000001400179467
PREISSMANN,860.0,0.8064831753053252,8.000001400214378
PREISSMANN,865.0,0.8064831753062547,8.00000140024603
PREISSMANN,870.0,0.8064831753070687,8.000001400274124
PREISSMANN,875.0,0.8064831753077639,8.000001400298519
PREISSMANN,880.0,0.8064831753083412,8.000001400319197
PREISSMANN,885.0,0.8064831753088048,8.00000140033625
PREISSMANN,890.0,0.806483175309161,8.00000140034986
PREISSMANN,895.0,0.8064831753094186,8.000001400360265
PREISSMANN,900.0,0.8064831753095871,8.000001400367768
PREISSMANN,905.0,0.8064831753096775,8.000001400372689
PREISSMANN,910.0,0.8064831753097008,8.000001400375375
PREISSMANN,915.0,0.8064831753096682,8.000001400376169
PREISSMANN,920.0,0.8064831753095905,8.00000140037541
PREISSMANN,925.0,0.8064831753094774,8.000001400373426
PREISSMANN,930.0,0.8064831753093389,8.000001400370511
PREISSMANN,935.0,0.8064831753091826,8.000001400366942
PREISSMANN,940.0,0.8064831753090163,8.000001400362958
PREISSMANN,945.0,0.8064831753088457,8.000001400358768
PREISSMANN,950.0,0.8064831753086755,8.000001400354554
PREISSMANN,955.0,0.8064831753085102,8.000001400350456
PREISSMANN,960.0,0.8064831753083523,8.000001400346592
PREISSMANN,965.0,0.8064831753082036,8.000001400343056
PREISSMANN,970.0,0.8064831753080655,8.00000140033993
PREISSMANN,975.0,0.806483175307942,8.000001400337267
PREISSMANN,980.0,0.8064831753078272,8.000001400335089
PREISSMANN,985.0,0.8064831753077273,8.000001400333433
PREISSMANN,990.0,0.806483175307646,8.00000140033227
PREISSMANN,995.0,0.8064831753075845,8.000001400331538
PREISSMANN,1000.0,0.8064831753075122,8.000001400331087
HLL,0.0,0.8064831105820651,8.0
HLL,5.0,0.8064831106589189,8.000000010513075
HLL,10.0,0.8064831108037854,8.000000016570654
HLL,15.0,0.8064831110213244,8.000000023214845
HLL,20.0,0.8064831113111219,8.000000029904463
HLL,25.0,0.8064831116627861,8.000000035999447
HLL,30.0,0.8064831120550198,8.000000040759513
HLL,35.0,0.8064831124561117,8.00000004593051
HLL,40.0,0.8064831128667933,8.000000051154752
HLL,45.0,0.8064831132714045,8.000000056490979
HLL,50.0,0.8064831136651733,8.00000006206939
HLL,55.0,0.806483114049566,8.000000067926107
HLL,60.0,0.8064831144285332,8.000000073935736
HLL,65.0,0.8064831148021439,8.000000080064972
HLL,70.0,0.8064831151741796,8.000000086263768
HLL,75.0,0.8064831155467591,8.000000092492993
HLL,80.0,0.806483115920714,8.000000098728654
HLL,85.0,0.8064831162963015,8.00000010496551
HLL,90.0,0.806483116673699,8.000000111202993
HLL,95.0,0.8064831170524069,8.000000117449138
HLL,100.0,0.8064831174319566,8.000000123711082
HLL,105.0,0.8064831178119667,8.000000129995632
HLL,110.0,0.806483118192141,8.000000136307742
HLL,115.0,0.8064831185722778,8.000000142650139
HLL,120.0,0.8064831189523143,8.000000149023139
HLL,125.0,0.8064831193322455,8.000000155426154
HLL,130.0,0.8064831197121043,8.000000161857853
HLL,135.0,0.8064831200919365,8.000000168316664
HLL,140.0,0.8064831204717813,8.000000174801198
HLL,145.0,0.8064831208516587,8.000000181310435
HLL,150.0,0.8064831212315731,8.000000187843645
HLL,155.0,0.8064831216115126,8.000000194400384
HLL,160.0,0.8064831219914552,8.000000200980397
HLL,165.0,0.806483122371374,8.000000207583522
HLL,170.0,0.8064831227512402,8.000000214209605
HLL,175.0,0.806483123131027,8.000000220858464
HLL,180.0,0.806483123510709,8.000000227529869
HLL,185.0,0.8064831238902646,8.000000234223533
HLL,190.0,0.8064831242696737,8.000000240939134
HLL,195.0,0.8064831246489175,8.000000247676306
HLL,200.0,0.8064831250279787,8.000000254434683
HLL,205.0,0.8064831254068392,8.000000261213886
HLL,210.0,0.8064831257854814,8.00000026801354
HLL,215.0,0.8064831261638871,8.000000274833269
HLL,220.0,0.8064831265420375,8.000000281672712
HLL,225.0,0.8064831269199138,8.000000288531501
HLL,230.0,0.8064831272974968,8.00000029540928
HLL,235.0,0.8064831276747674,8.000000302305676
HLL,240.0,0.8064831280517062,8.00000030922033
HLL,245.0,0.8064831284282941,8.000000316152871
HLL,250.0,0.806483128804512,8.000000323102928
HLL,255.0,0.8064831291803408,8.000000330070124
HLL,260.0,0.8064831295557615,8.000000337054079
HLL,265.0,0.8064831299307551,8.000000344054413
HLL,270.0,0.8064831303053028,8.00000035107074
HLL,275.0,0.8064831306793856,8.000000358102673
HLL,280.0,0.8064831310529847,8.000000365149821
HLL,285.0,0.8064831314260812,8.000000372211794
HLL,290.0,0.8064831317986562,8.000000379288197
HLL,295.0,0.8064831321706909,8.000000386378634
HLL,300.0,0.8064831325421664,8.000000393482711
HLL,305.0,0.8064831329130644,8.000000400600022
HLL,310.0,0.8064831332833656,8.00000040773017
HLL,315.0,0.8064831336530516,8.000000414872748
HLL,320.0,0.8064831340221037,8.00000042202735
HLL,325.0,0.8064831343905031,8.00000042919357
HLL,330.0,0.8064831347582317,8.000000436370996
HLL,335.0,0.8064831351252704,8.000000443559216
HLL,340.0,0.8064831354916011,8.000000450757819
HLL,345.0,0.8064831358572053,8.000000457966387
HLL,350.0,0.8064831362220646,8.000000465184499
HLL,355.0,0.8064831365861606,8.000000472411742
HLL,360.0,0.806483136949475,8.000000479647692
HLL,365.0,0.8064831373119898,8.000000486891926
HLL,370.0,0.8064831376736868,8.00000049414402
HLL,375.0,0.8064831380345479,8.000000501403548
HLL,380.0,0.806483138394555,8.00000050867008
HLL,385.0,0.8064831387536899,8.000000515943192
HLL,390.0,0.8064831391119351,8.00000052322245
HLL,395.0,0.8064831394692726,8.000000530507421
HLL,400.0,0.8064831398256846,8.000000537797673
HLL,405.0,0.8064831401811534,8.000000545092774
HLL,410.0,0.8064831405356612,8.000000552392285
HLL,415.0,0.8064831408891908,8.00000055969577
HLL,420.0,0.8064831412417246,8.000000567002791
HLL,425.0,0.806483141593245,8.000000574312908
HLL,430.0,0.8064831419437347,8.000000581625686
HLL,435.0,0.8064831422931765,8.000000588940678
HLL,440.0,0.8064831426415531,8.000000596257447
HLL,445.0,0.8064831429888472,8.00000060357555
HLL,450.0,0.8064831433350417,8.000000610894546
HLL,455.0,0.8064831436801199,8.000000618213988
