Distance_m,Bed_Elevation_m,Water_Depth_m,Water_Surface_Elevation_m,Flow_Rate_m3s,Flow_Error_pct
1900.0,4.05,1.350812642948904,5.400812642948904,10.0,0.0
1950.0,4.025,1.3496501628035404,5.37465016280354,10.0,0.0
2000.0,4.0,1.3484876826737568,5.348487682673757,10.0,0.0
2050.0,3.975,1.347325202559619,5.322325202559619,10.0,0.0
2100.0,3.95,1.346162722461196,5.2961627224611965,10.0,0.0
2150.0,3.9250000000000003,1.3450002423785554,5.270000242378556,10.0,0.0
2200.0,3.9,1.3438377623117652,5.243837762311765,10.0,0.0
2250.0,3.875,1.3426752822608952,5.217675282260895,10.0,0.0
2300.0,3.85,1.3415128022260128,5.191512802226013,10.0,0.0
2350.0,3.825,1.34035032220719,5.16535032220719,10.0,0.0
2400.0,3.8000000000000003,1.339187842204495,5.139187842204495,10.0,0.0
2450.0,3.775,1.3380253622179983,5.113025362217998,10.0,0.0
2500.0,3.75,1.336862882247772,5.086862882247772,10.0,0.0
2550.0,3.725,1.3357004022938852,5.060700402293885,10.0,0.0
2600.0,3.7,1.3345379223564104,5.03453792235641,10.0,0.0
2650.0,3.6750000000000003,1.333375442435419,5.008375442435419,10.0,0.0
2700.0,3.65,1.3322129625309833,4.9822129625309834,10.0,0.0
2750.0,3.625,1.331050482643177,4.956050482643177,10.0,0.0
2800.0,3.6,1.329888002772072,4.929888002772072,10.0,0.0
2850.0,3.575,1.328725522917743,4.903725522917743,10.0,0.0
2900.0,3.5500000000000003,1.3275630430802625,4.877563043080263,10.0,0.0
2950.0,3.525,1.3264005632597047,4.851400563259705,10.0,0.0
3000.0,3.5,1.3252380834561446,4.825238083456145,10.0,0.0
3050.0,3.475,1.3240756036696575,4.799075603669658,10.0,0.0
3100.0,3.45,1.3229131239003193,4.772913123900319,10.0,0.0
3150.0,3.4250000000000003,1.3217506441482056,4.7467506441482055,10.0,0.0
3200.0,3.4,1.3205881644133919,4.720588164413392,10.0,0.0
3250.0,3.375,1.3194256846959556,4.694425684695956,10.0,0.0
3300.0,3.35,1.318263204995974,4.668263204995974,10.0,0.0
3350.0,3.325,1.3171007253135238,4.642100725313524,10.0,0.0
3400.0,3.3000000000000003,1.3159382456486843,4.615938245648684,10.0,0.0
3450.0,3.275,1.314775766001533,4.589775766001533,10.0,0.0
3500.0,3.25,1.3136132863721484,4.563613286372148,10.0,0.0
3550.0,3.225,1.3124508067606104,4.53745080676061,10.0,0.0
3600.0,3.2,1.311288327166999,4.511288327167,10.0,0.0
3650.0,3.1750000000000003,1.3101258475913948,4.485125847591395,10.0,0.0
3700.0,3.15,1.3089633680338775,4.458963368033878,10.0,0.0
3750.0,3.125,1.3078008884945278,4.432800888494528,10.0,0.0
3800.0,3.1,1.3066384089734282,4.4066384089734285,10.0,0.0
3850.0,3.075,1.3054759294706604,4.380475929470661,10.0,0.0
3900.0,3.0500000000000003,1.3043134499863072,4.354313449986307,10.0,0.0
3950.0,3.025,1.3031509705204507,4.328150970520451,10.0,0.0
4000.0,3.0,1.3019884910731743,4.301988491073175,10.0,0.0
4050.0,2.975,1.3008260116445627,4.275826011644563,10.0,0.0
4100.0,2.95,1.2996635322346994,4.2496635322347,10.0,0.0
4150.0,2.9250000000000003,1.2985010528436693,4.22350105284367,10.0,0.0
4200.0,2.9,1.2973385734715583,4.1973385734715585,10.0,0.0
4250.0,2.875,1.296176094118451,4.171176094118451,10.0,0.0
4300.0,2.85,1.2950136147844344,4.1450136147844345,10.0,0.0
4350.0,2.825,1.2938511354695954,4.118851135469596,10.0,0.0
4400.0,2.8000000000000003,1.29268865617402,4.092688656174021,10.0,0.0
4450.0,2.775,1.2915261768977973,4.066526176897797,10.0,0.0
4500.0,2.75,1.2903636976410144,4.040363697641014,10.0,0.0
4550.0,2.725,1.289201218403761,4.014201218403761,10.0,0.0
